,time,instance_events_type,collection_id,scheduling_class,collection_type,priority,alloc_collection_id,instance_index,machine_id,resource_request
1259,2.08716E+12,2,7.57628E+11,2,0,360,6.40849E+11,11,61389539974,"{'cpus': 0.0148162841796875, 'memory': 0.0013027191162109375}"
1260,2.49109E+12,6,3.24695E+11,3,1,200,0,292,8663892164,"{'cpus': 0.06591796875, 'memory': 0.009765625}"
1261,1.97769E+12,2,4.96921E+11,0,0,0,0,32359,39945684209,"{'cpus': 0.0081024169921875, 'memory': 0.003612518310546875}"
1262,1.77171E+12,2,98820945789,2,0,200,0,890,328858144,"{'cpus': 0.002201080322265625, 'memory': 0.00390625}"
1263,2.05646E+12,3,1.28074E+11,2,0,25,0,246,30633206767,"{'cpus': 0.002521514892578125, 'memory': 0.0003299713134765625}"
1264,1.07316E+12,6,3.10583E+11,3,1,200,0,126,1188233253,"{'cpus': 0.072998046875, 'memory': 0.0134124755859375}"
1265,0,2,1.38868E+11,3,1,200,0,288,2.0866E+11,"{'cpus': 0.0880126953125, 'memory': 0.012725830078125}"
1266,1.53923E+12,6,2.34915E+11,0,0,103,0,258,3302931217,"{'cpus': 0.05694580078125, 'memory': 0.0059661865234375}"
1267,4.68978E+11,0,7.84635E+11,2,0,360,6.98303E+11,802,3645434116,"{'cpus': 0.0146636962890625, 'memory': 0.0013027191162109375}"
1268,97996623744,0,4.53266E+11,0,0,103,0,1688,28533881780,"{'cpus': 0.017608642578125, 'memory': 0.0066986083984375}"
1269,7.99982E+11,3,4.73376E+11,1,0,103,0,4703,2.11277E+11,"{'cpus': 0.0141754150390625, 'memory': 0.00616455078125}"
1270,1.50609E+12,2,3.14894E+11,0,0,0,0,9238,10060025829,"{'cpus': 0.00566864013671875, 'memory': 0.00262451171875}"
1271,1.15918E+12,6,3.49011E+11,0,0,103,0,902,1.83354E+11,"{'cpus': 0.00484466552734375, 'memory': 0.0012569427490234375}"
1272,1.03839E+11,5,4.5523E+11,2,0,103,0,2867,1721038,"{'cpus': 0.007293701171875, 'memory': 0.00725555419921875}"
1273,1.45467E+12,6,7.55687E+11,0,0,105,0,7638,27367433031,"{'cpus': 0.00662994384765625, 'memory': 0.00368499755859375}"
1274,0,0,7.10255E+11,1,0,103,0,8772,856264533,"{'cpus': 0.0066070556640625, 'memory': 0.00521087646484375}"
1275,6.82766E+11,6,2.79241E+11,0,0,103,0,557,7256858039,"{'cpus': 0.048583984375, 'memory': 0.0051422119140625}"
1276,0,2,21861562614,3,0,200,21861561765,636,4236227296,"{'cpus': 0.011444091796875, 'memory': 0.03594970703125}"
